timestamp,x_coord,y_coord,confidence
1510881413390,2.08384,336.921,1.97728
1510881413455,1.30816,342.901,1.85451
1510881413487,0.906336,325.112,3.82493
1510881566408,354.826,387.759,0.595163
1510881566438,324.706,393.184,0.826351
1510881566504,363.458,403.214,1.1559
1510881566536,314.513,410.382,1.53683
1510881566600,224.961,419.965,1.86654
1510881566632,155.335,402.381,0.80075
1510881566707,440.815,411.28,2.30416
1510881566738,359.177,404.612,0.58668
1510881566803,222.384,388.824,0.71353
1510881566835,192.574,388.546,0.609419
1510881566902,252.073,390.715,0.580211
1510881566932,240.526,388.643,0.62153
1510881567007,180.135,377.949,0.711315
1510881567039,122.205,371.367,1.14554
1510881567103,76.091,354.739,1.23157
1510881567134,52.8465,324.458,2.64448
1510881567199,258.105,369.943,0.459758
1510881567231,223.343,376.194,0.589646
1510881567296,268.376,390.206,0.478829
1510881567500,423.973,433.862,1.71899
1510881567532,482.187,442.205,1.22878
1510881567599,467.65,441.514,1.04852
1510881567631,524.191,445.53,1.02572
1510881567707,302.06,417.931,1.78061
1510881567738,323.203,421.334,1.69295
1510881567803,279.899,408.844,0.520774
1510881567835,255.214,402.445,0.520154
1510881567901,280.842,399.841,1.02745
1510881567932,194.132,388.68,0.828144
1510881568007,114.237,362.566,0.824883
1510881568039,124.734,369.703,0.55578
1510881568103,77.9019,372.708,1.12765
1510881568135,238.264,389.893,1.16144
1510881568201,323.548,389.412,0.947107
1510881568234,397.391,390.744,1.0512
1510881568298,481.013,402.115,1.06022
1510881568341,504.319,414.082,1.59531
1510881568404,553.997,419.509,1.32665
1510881568436,496.406,382.001,1.11595
1510881568500,541.348,405.984,1.43013
1510881568531,472.556,404.704,0.623935
1510881568596,478.85,406.826,0.467013
1510881568639,509.837,412.618,0.437541
1510881568704,406.336,398.227,0.836747
1510881568734,310.608,391.882,0.483054
1510881568801,192.921,381.445,0.671632
1510881568833,144.158,366.832,1.58006
1510881568900,319.858,394.019,0.558124
1510881568932,265.877,378.848,2.14565
1510881568999,370.024,393.453,1.12414
1510881569031,261.391,379.758,1.14652
1510881569096,162.926,367.489,0.798906
1510881569139,150.218,369.404,0.887057
1510881569204,130.362,365.046,0.655012
1510881569236,111.433,357.833,0.966436
1510881569303,187.43,352.512,1.4077
1510881569336,266.482,366.151,1.20302
1510881569403,177.052,366.411,0.430409
1510881569435,271.669,387.651,0.418314
1510881569502,210.517,383.552,0.394678
1510881569534,190.862,381.726,0.408007
1510881569599,302.898,393.523,0.580441
1510881569631,343.514,398.424,0.398397
1510881569705,295.899,377.153,0.743177
1510881569737,401.456,388.382,0.654945
1510881569804,521.509,391.095,1.12688
1510881569836,422.425,389.132,0.531217
1510881569899,265.93,355.288,1.51663
1510881569932,235.055,351.916,1.57794
1510881570004,330.77,378.132,0.454837
1510881570036,357.501,390.362,1.38314
1510881570102,256.511,380.24,1.18384
1510881570134,262.345,385.902,4.80884
1510881570199,164.472,358.82,3.50203
1510881570239,139.753,362.072,3.4428
1510881570304,232.264,379.342,1.39908
1510881570336,654.151,342.959,6.59752
1510881570402,627.701,360.935,1.5054
1510881570596,158.381,339.213,0.984818
1510881570640,135.89,351.352,0.696815
1510881570703,77.9809,351.029,1.17772
1510881570834,154.034,370.374,0.564448
1510881570901,178.068,374.17,0.326858
1510881570932,325.732,367.408,1.50223
1510881571136,327.769,396.499,1.12846
1510881571232,369.629,400.553,1.13317
1510881571297,196.904,367.622,1.64709
1510881571330,225.045,374.448,0.557299
1510881571600,148.701,369.429,1.01191
1510881571633,77.6441,365.955,0.979829
1510881571706,640.942,310.379,4.07233
1510881571737,449.185,335.005,0.703411
1510881571803,345.014,350.049,0.582098
1510881571835,235.782,348.408,0.554828
1510881571902,477.518,363.958,2.06623
1510881571934,329.525,356.52,0.465239
1510881716376,328.028,454.886,0.685864
1510881716385,163.917,442.381,0.685648
1510881716483,269.93,448.158,0.663998
1510881716547,320.872,442.124,0.640286
1510881716579,285.266,436.581,0.671055
1510881716654,300.051,443.517,0.658828
1510881716710,183.836,437.21,0.869393
1510881716742,126.43,427.85,0.393192
1510881716784,106.622,422.626,0.446812
1510881716848,67.2842,426.116,1.06084
1510881716880,104.978,425.09,1.01609
1510881716945,87.6492,420.206,0.490125
1510881717021,49.6765,416.669,0.422287
1510881717041,44.554,415.05,0.429829
1510881717085,62.0376,414.795,0.471876
1510881717149,132.761,417.54,0.55961
1510881717181,135.588,418.266,0.512977
1510881717247,174.753,418.789,0.513428
1510881717280,197.363,420.353,0.525738
1510881717345,137.311,416.797,0.491591
1510881717410,141.787,417.323,0.525867
1510881717442,133.752,416.974,0.505884
1510881717484,92.8493,416.566,0.798012
1510881717550,58.0732,416.988,0.491539
1510881717582,40.2928,417.729,0.968891
1510881717648,96.897,411.397,0.415984
1510881717680,88.4303,411.955,0.506926
1510881717747,109.107,415.973,0.505932
1510881717812,65.2366,414.463,0.473815
1510881717845,78.3701,418.008,0.492552
1510881717912,99.9019,419.805,0.52797
1510881717943,68.8927,421.594,0.594115
1510881718007,131.419,413.726,0.515268
1510881718050,161.523,421.641,0.605224
1510881718083,183.807,413.625,0.582127
1510881718149,179.722,408.155,0.42266
1510881718180,125.386,412.915,0.550886
1510881718248,77.6829,427.369,1.54988
1510881718279,53.6786,424.8,2.1681
1510881718344,240.097,429.497,0.538416
1510881718411,229.194,415.52,0.553523
1510881718443,318.357,413.508,0.522376
1510881718519,272.995,406.844,0.579103
1510881718551,320.387,409.857,0.555961
1510881718584,362.959,408.678,0.632773
1510881718650,413.891,406.198,0.373499
1510881718681,516.077,411.615,0.388277
1510881718747,610.187,398.083,1.38238
1510881718810,715.478,387.677,1.64936
1510881718842,770.08,391.887,1.37327
1510881718885,795.262,401.08,1.11174
1510881718950,727.365,401.197,1.19316
1510881718981,747.596,397.754,1.79338
1510881719047,743.875,395.686,1.43225
1510881719079,689.263,381.176,1.84226
1510881719144,713.017,376.398,1.84979
1510881719209,651.607,376.712,0.978578
1510881719242,624.769,392.077,0.374775
1510881719381,491.566,412.615,0.887957
1510881719446,489.246,414.326,1.28516
1510881719511,441.054,416.297,0.561267
1510881719543,479.107,418.577,0.470787
1510881719609,421.592,422.647,0.4685
1510881719642,424.281,424.806,0.491162
1510881719718,455.307,428.283,0.526904
1510881719750,520.71,429.966,0.762168
1510881719783,490.158,428.254,0.625434
1510881719850,496.378,428.93,0.468054
1510881719881,559.679,431.168,0.555883
1510881719946,574.06,429.422,0.791247
1510881720010,506.848,415.163,1.15741
1510881720043,496.932,401.8,1.06009
1510881720085,446.098,396.164,1.2433
1510881720148,456.809,396.672,0.698036
1510881720180,373.175,387.401,0.916429
1510881720246,271.528,375.729,1.08481
1510881720287,222.026,370.595,1.23374
1510881720352,226.988,371.009,0.954196
1510881720383,190.474,367.502,1.08571
1510881720448,165.904,354.846,1.41429
1510881720480,148.624,352.45,1.47963
1510881720545,93.3724,348.239,1.62083
1510881720610,56.3775,337.467,1.3931
1510881720642,38.4221,341.359,0.836086
1510881720717,22.4808,330.812,1.35308
1510881720750,15.1283,330.148,0.934721
1510881720782,10.8201,336.672,0.787542
1510881720847,6.85603,348.644,0.703945
1510881720880,23.1991,355.035,0.608718
1510881720944,14.6834,353.471,0.818245
1510881721009,8.89084,347.502,0.954187
1510881721051,5.88317,348.787,0.873749
1510881721083,4.17424,345.295,1.16282
1510881892869,444.572,391.412,0.38361
1510881892909,610.932,419.823,0.612812
1510881892941,723.907,399.954,1.27984
1510881893006,704.081,404.05,0.59873
1510881893038,675.362,403.427,0.574385
1510881893103,476.563,383.805,1.60143
1510881893136,476.304,364.432,0.991204
1510881893210,492.505,364.585,0.923676
1510881893243,628.655,380.05,0.766481
1510881893310,726.026,387.895,1.00628
1510881893339,768.605,399.624,0.607885
1510881893406,796.992,402.583,0.827988
1510881893438,777.894,414.122,0.472582
1510881893504,808.388,423.854,0.686145
1510881893536,810.917,424.673,0.644967
1510881893610,724.731,402.464,0.849373
1510881893642,737.285,405.62,0.728952
1510881893707,746.39,415.13,0.475921
1510881893740,716.798,410.57,0.64269
1510881893782,691.77,410.333,0.609047
1510881893838,685.771,417.801,0.577766
1510881893904,618.267,407.344,0.408435
1510881893936,671.263,406.133,0.652233
1510881893979,644.918,403.696,0.764545
1510881894046,541.61,392.651,0.939601
1510881894112,427.687,389.742,0.90008
1510881894144,419.117,391.904,0.736639
1510881894210,557.233,396.476,0.287903
1510881894242,605.412,413.496,0.359803
1510881894309,587.294,418.782,0.278235
1510881894342,651.458,424.284,0.462191
1510881894409,630.371,415.217,0.35888
1510881894441,580.369,411.486,0.0753674
1510881894508,704.882,419.834,0.766968
1510881894541,580.519,407.043,0.63627
1510881894608,545.125,405.9,0.796715
1510881894641,531.234,401.938,0.67391
1510881894706,422.011,381.334,1.33472
1510881894738,418.029,369.085,1.22858
1510881894781,493.128,373.24,0.758399
1510881894837,540.921,375.291,0.87414
1510881894879,556.086,378.417,0.739287
1510881894945,524.851,388.102,0.306645
1510881895009,453.796,361.145,1.06102
1510881895042,490.738,360.204,0.447504
1510881895109,556.511,373.055,0.199734
1510881895140,545.792,375.016,0.261217
1510881895207,527.063,375.294,0.589353
1510881895239,402.41,373.678,0.405712
1510881895305,298.948,372.723,0.443275
1510881895336,337.192,378.107,0.400991
1510881895402,341.684,379.63,0.254
1510881895435,247.448,371.152,0.417404
1510881895512,279.419,372.974,0.33708
1510881895544,281.742,372.792,0.336266
1510881895610,174.028,366.532,0.980998
1510881895641,130.657,364.704,0.641738
1510881895705,81.9509,359.354,1.24921
1510881895737,135.599,362.1,0.437903
1510881895779,192.755,365.282,0.386479
1510881895845,141.085,353.343,1.27409
1510881895909,218.018,362.903,0.514595
1510881895941,197.374,365.783,0.436659
1510881896007,121.877,363.178,0.808741
1510881896039,109.853,365.741,0.579379
1510881896104,68.8085,362.973,0.913147
1510881896136,47.7715,359.389,0.901317
1510881896209,28.679,370.458,1.26766
1510881896241,19.5574,367.63,1.00481
1510881896306,12.1364,354.514,1.25102
1510881896337,8.39206,348.158,0.850623
1510881896402,5.23873,326.671,2.36212
1510881896436,3.60949,328.253,1.11246
1510881896501,17.9224,341.004,0.650634
1510881896544,11.9545,339.004,1.25797
1510881896608,72.647,354.203,0.496405
1510881896639,55.7585,352.659,0.862421
1510881896703,35.0145,350.756,1.12294
1510881896746,23.4284,359.426,1.43655
1510881896810,14.5037,347.719,1.18645
1510881896842,75.677,357.515,0.4518
1510881896906,69.7557,331.517,1.83926
1510881896938,88.5425,344.802,0.796542
1510881897004,60.8713,350.713,0.892193
1510881897037,53.0217,350.509,0.801616
1510882074657,772.854,426.711,0.952181
1510882074698,388.921,382.812,1.03258
1510882074731,242.933,391.672,2.3672
1510882074798,144.787,379.412,0.8813
1510882074842,182.357,384.41,0.269798
1510882074897,117.46,381.054,0.85553
1510882074930,98.5802,380.36,0.280382
1510882075004,222.575,386.068,0.138412
1510882075035,151.712,380.273,0.298666
1510882075112,87.6893,373.676,0.863329
1510882075133,60.4845,367.649,0.698599
1510882075197,37.9288,359.688,0.79671
1510882075272,34.8691,359.886,0.429851
1510882075304,44.0773,351.441,1.16041
1510882075335,31.4853,356.531,1.56984
1510882075401,26.575,362.585,0.458505
1510882075433,18.5391,354.757,0.990257
1510882075496,11.7484,361.108,0.845926
1510882075537,13.503,364.841,0.675619
1510882075602,29.4616,365.695,0.328282
1510882075633,119.037,368.276,0.376361
1510882075698,74.3378,367.142,0.629602
1510882075730,205.612,377.955,0.452849
1510882075804,178.586,365.298,0.606391
1510882075837,141.521,362.999,0.622923
1510882075880,178.565,362.052,0.541011
1510882075935,118.18,369.497,2.34649
1510882076000,72.433,377.961,2.0356
1510882076031,87.0139,357.605,4.3153
1510882076095,54.802,386.614,5.02578
1510882076137,121.926,391.574,1.16801
1510882076202,75.5186,393.109,2.56684
1510882076244,50.4347,399.967,7.86144
1510882076299,32.7025,405.411,5.18501
1510882076330,53.8254,393.06,1.41957
1510882076445,24.5181,398.008,4.78702
1510882076498,23.2157,356.198,4.38071
1510882076530,15.5159,365.95,4.99516
1510882076607,8.95437,377.704,2.26319
1510882076638,6.01115,390.908,3.09059
1510882076735,3.05338,410.312,5.39885
1510882076801,1.70147,398.59,4.18671
1510882076832,1.12718,403.169,3.9152
1510882076897,0.694946,403.326,4.78925
1510882076929,0.477765,401.106,5.0179
1510882077003,0.283947,401.052,4.70257
1510882077034,0.192845,400.956,2.11747
1510882077098,0.120795,402.888,2.00858
1510882077130,127.952,400.727,0.722152
1510882077206,266.142,402.466,0.72764
1510882077238,179.542,402.064,2.00723
1510882077302,246.71,403.566,1.14654
1510882077334,176.554,397.651,2.09868
1510882077430,90.6017,379.666,0.656594
1510882077506,150.173,373.169,0.338029
1510882077537,155.537,370.323,0.401116
1510882077603,186.63,370.306,0.29445
1510882077635,127.749,368.034,0.462736
1510882077699,79.846,353.66,1.15458
1510882077731,59.2999,347.009,0.571853
1510882077807,94.8918,350.255,0.308161
1510882077829,101.253,354.237,0.315166
1510882077906,58.8792,353.809,0.494314
1510882077937,48.6192,357.416,0.203017
1510882078003,30.0456,359.111,0.500374
1510882078035,20.6764,360.286,0.522507
1510882078102,12.808,348.736,1.31354
1510882078132,34.4826,352.796,0.30604
1510882078199,132.24,358.443,0.751953
1510882078230,94.4908,360.657,0.516911
1510882078295,189.137,364.328,0.646697
1510882078371,106.461,372.323,1.13167
1510882078403,70.5862,366.922,0.61199
1510882078436,141.972,374.089,0.521149
1510882078503,175.382,370.507,0.756272
1510882078534,121.954,371.43,0.742063
1510882078599,81.9373,365.591,0.607075
1510882078631,96.3323,370.622,0.695318
1510882078697,59.8886,360.351,0.682641
1510882078773,186.865,362.499,0.445912
1510882078805,136.273,359.554,0.567728
1510882078837,264.496,382.34,0.235636
1510882078903,347.391,391.754,0.294438
1510882078935,243.545,383.373,0.375955
1510882079000,173.436,384.648,0.462758
1510882079032,124.643,382.969,0.270471
1510882079097,86.9858,383.842,0.469858
1510882079129,118.874,384.357,0.110546
1510882079205,69.6026,379.247,0.313144
1510882079237,99.1986,382.351,0.163411
1510882079303,124.137,384.4,0.126303
1510882079335,272.828,395.833,0.195365
1510882079401,353.298,396.966,0.294068
1510882079432,271.006,390.548,0.404949
1510882079497,170.07,381.362,0.571032
1510882079530,272.891,386.721,0.218292
1510882079606,278.264,388.132,0.193655
1510882079638,223.151,385.301,0.191888
1510882079703,137.887,381.415,0.637356
1510882079735,262.427,386.078,0.241545
1510882079802,162.767,377.796,1.16014
1510882079833,124.188,378.304,0.321102
1510882079900,255.526,383.814,0.213401
1510882079931,317.637,384.94,0.214938
1510882080007,323.512,383.553,0.207375
1510882080070,309.927,381.724,0.219362
1510882080101,244.593,376.269,0.136424
1510882080133,349.965,378.63,0.222592
1510882080198,235.347,378.19,0.321319
1510882080230,188.563,373.585,0.223334
1510882080306,262.411,376.423,0.230768
1510882080337,245.06,377.299,0.191981
1510882080403,193.026,374.272,0.127226
1510882080435,172.02,372.648,0.167958
1510882080502,292.707,377.168,0.240008
1510882080535,319.541,382.998,0.18716
1510882080600,252.492,376.631,0.142461
1510882080632,205.242,371.845,0.20105
1510882080695,182.499,371.243,0.148091
1510882080772,133.718,371.031,0.188618
1510882080803,96.2623,369.551,0.301103
1510882080834,97.9603,368.775,0.345326
1510882080900,71.3241,369.423,0.281927
1510882080932,49.7641,366.137,0.294105
1510882080995,41.1897,364.373,0.154308
1510882081038,47.3929,368.549,0.416301
1510882081103,29.2243,367.641,1.83099
1510882081135,20.1533,353.159,1.75539
1510882081199,12.6366,346.449,1.75301
1510882081232,16.9449,339.207,1.2237
1510882081295,60.1743,347.474,0.917969
1510882081372,154.684,359.383,0.581589
1510882081404,105.541,360.791,0.727708
1510882081436,75.0007,355.773,1.26284
1510882081501,47.3856,357.744,1.00712
1510882081532,82.2771,362.281,0.618834
1510882081596,71.832,363.13,1.50581
1510882081638,48.2392,363.109,2.95167
1510882081704,29.7434,364.477,2.1238
1510882081735,20.5706,368.73,3.73888
1510882081799,87.9467,370.329,0.93641
1510882081829,61.3001,370.605,4.12775
1510882081905,36.1949,378.025,3.43395
1510882081935,103.518,354.932,4.04846
1510882081999,64.849,362.232,3.26127
1510882082030,45.0251,374.129,3.72228
1510882082106,38.9659,388.147,4.9512
1510882082137,49.2451,384.464,0.970578
1510882082203,118.595,387.783,0.58073
1510882082235,114.346,388.704,1.99124
1510882082302,70.8452,389.969,3.2981
1510882082334,106.952,367.992,3.62271
1510882082400,66.2824,386.886,4.00593
1510882082433,45.5272,396.721,4.39083
1510882082500,28.1792,404.739,4.68722
1510882082532,19.4051,433.473,9.87578
1510882082596,12.16,420.308,2.78348
1510882082673,6.85273,442.983,4.65763
1510882082703,148.866,430.605,2.16664
1510882082800,184.008,401.788,0.865377
1510882082896,114.063,371.152,0.886888
1510882082973,215.085,360.984,1.85803
1510882082994,213.237,363.631,2.51475
1510882083037,236.01,377.441,2.04129
1510882083100,235.075,397.685,1.73244
1510882083133,199.44,385.993,1.86843
1510882083197,203.282,373.361,1.54081
1510882083262,157.123,370.295,1.17695
1510882083295,143.211,364.614,0.506047
1510882083372,82.7703,345.095,1.38998
1510882083404,213.066,353.377,4.84572
1510882083435,224.555,346.074,1.14347
1510882083501,293.634,345.524,1.23462
1510882083533,225.508,345.994,0.952775
1510882083597,291.488,318.498,2.4785
1510882083630,213.463,318.347,1.11182
1510882083705,171.278,336.684,4.03569
1510882083737,115.974,332.631,1.34158
1510882083804,189.349,336.473,0.864325
1510882083835,160.855,337.74,1.43766
1510882084103,141.599,337.109,0.815033
1510882084136,228.442,335.914,2.00361
1510882084200,208.34,338.972,0.225302
1510882084232,282.671,346.021,0.442089
1510882084298,359.273,348.727,0.566442
1510882084330,316.969,348.583,0.621548
1510882175342,66.1535,429.364,0.517976
1510882175579,356.574,432.088,0.291581
1510882175645,167.252,412.783,0.765269
1510882175709,194.573,397.196,0.33555
1510882175741,258.344,405.975,0.275735
1510882175818,152.652,395.909,0.636317
1510882175840,104.799,392.893,1.10196
1510882175914,69.6055,388.558,0.66969
1510882176207,45.9959,398.192,0.508784
1510882176240,99.4573,381.552,0.310168
1510882176540,154.27,365.926,0.414494
1510882176615,300.014,346.379,0.743331
1510882176647,184.694,353.038,0.320765
1510882176843,45.5793,406.198,0.755262
1510882176909,22.2705,408.895,0.697431
1510882177017,9.59361,397.028,0.308779
1510882177048,54.0104,386.378,0.427981
1510882177608,2.3314,378.91,0.342574
1510882177641,1.14964,432.78,1.03052
1510882177909,0.177013,377.068,1.08756
1510882177941,0.0923316,428.743,0.941842
1510882178017,5.00307,442.454,0.374932
1510882178058,26.2207,429.008,0.507924
1510882292793,1653.92,463.911,3.23038
1510882292858,1034.59,450.959,1.51633
1510882293189,187.234,413.8,1.26187
1510882293266,92.8034,410.864,0.392219
1510882293287,58.3123,410.422,0.452997
1510882293363,32.8934,420.465,0.928753
1510882293384,39.6378,422.979,0.749987
1510882293450,46.1967,430.262,1.2472
1510882293482,45.1786,428.937,0.778455
1510882293558,26.5665,432.141,0.845809
1510882293590,17.9131,430.165,1.15797
1510882293655,16.0797,424.468,0.599807
1510882293688,114.553,419.608,0.161813
1510882293754,90.0054,416.726,0.590016
1510882293797,59.6451,418.926,1.11851
1510882293853,69.0604,413.626,0.758084
1510882293896,46.5947,421.012,0.789202
1510882293950,30.6469,419.038,1.07446
1510882293993,20.8387,416.638,1.08419
1510882294047,13.7539,414.786,0.593482
1510882294090,41.0703,409.925,0.361859
1510882294155,25.6581,409.103,0.710163
1510882294188,24.6851,407.482,0.429461
1510882294266,14.3309,404.413,0.844706
1510882294286,41.751,408.972,0.439827
1510882294364,24.2631,421.751,1.68548
1510882294482,10.1698,423.211,1.15325
1510882294555,5.2128,424.906,1.05527
1510882294586,3.36326,433.293,1.2244
1510882294651,2.05171,427.166,0.557054
1510882294684,83.1354,428.514,0.321713
1510882294749,92.1732,426.291,0.495985
1510882294790,137.348,423.142,0.357547
1510882294855,85.0739,425.178,1.03098
1510882294887,58.6026,421.014,0.982795
1510882294929,40.8764,416.237,1.05234
1510882294984,27.0248,421.131,1.88698
1510882295049,16.6479,421.915,1.41402
1510882295091,11.0934,421.898,1.09251
1510882295155,6.85582,421.088,1.69384
1510882295187,4.71807,420.891,1.27541
1510882295229,3.30269,420.427,0.978377
1510882295282,2.20907,421.499,1.55572
1510882295356,1.29854,423.734,1.84165
1510882295389,0.875443,417.524,0.87354
1510882295431,0.604452,416.96,1.436
